,CONSTRUCTION YEAR
1906,65
1900,35
1931,31
1905,28
2021,27
1930,24
2006,19
2022,19
2017,17
2007,15
2001,15
1934,15
1960,13
2010,13
2008,13
1928,12
2018,12
1991,12
1925,12
2019,12
1929,11
1887,11
2016,11
2011,11
1971,10
1910,9
1750,9
2015,9
1940,9
1980,9
1990,9
2000,9
2004,9
1933,8
1965,8
1998,8
1926,8
1918,8
1912,8
2002,8
2020,8
1981,8
1922,8
1883,7
1890,7
1976,7
1970,7
1911,7
1882,7
2012,7
1903,6
2014,6
2005,6
1892,6
1961,6
1927,6
2009,6
1935,6
1923,6
1984,6
1995,5
1896,5
1914,5
1915,5
1924,5
1966,5
1005,5
1967,5
1988,5
1969,5
1909,4
1921,4
1920,4
1938,4
1913,4
1964,4
1974,4
1884,4
1999,4
1972,4
1958,4
1992,4
1907,4
1888,4
1997,3
2003,3
1768,3
1932,3
1963,3
1723,3
1720,3
1968,3
1945,3
1977,3
1975,3
1740,3
1962,3
1985,3
1891,3
2013,3
1898,3
1897,3
1880,3
1917,3
1893,2
1775,2
1899,2
1895,2
1771,2
1994,2
1852,2
1989,2
1870,2
1982,2
1983,2
1865,2
1840,2
1850,2
1672,2
1987,2
1919,2
1799,2
1939,2
1800,2
1700,2
1908,2
1954,2
1996,2
1684,1
1637,1
1685,1
1617,1
1675,1
1620,1
1625,1
1664,1
1688,1
1644,1
1710,1
1671,1
1667,1
1695,1
1993,1
1709,1
1680,1
1859,1
1986,1
1721,1
1790,1
1615,1
1816,1
1837,1
1904,1
1902,1
1901,1
1894,1
1889,1
1886,1
1881,1
1878,1
1875,1
1874,1
1869,1
1784,1
1769,1
1753,1
1956,1
1979,1
1978,1
1973,1
1725,1
1733,1
1957,1
1955,1
1747,1
1953,1
1860,1
1949,1
1941,1
1745,1
1937,1
1950,1
